HOUSEID,PERSONID,TRIPID,SEQ_TRIPID,VEHCASEID,FRSTHM,PARK,HHMEMDRV,TDWKND,TRAVDAY,LOOP_TRIP,DWELTIME,PUBTRANS,TRIPPURP,WHYFROM,WHYTRP1S,TRVLCMIN,STRTTIME,ENDTIME,TRPHHVEH,VEHID,TRPTRANS,NUMONTRP,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,NONHHCNT,HHACCCNT,WHODROVE,DRVR_FLG,PSGR_FLG,WHODROVE_IMP,PARK2_PAMOUNT,PARK2_PAYTYPE,PARK2,WHYTO,WALK,TRPMILES,WTTRDFIN,WTTRDFIN5D,WTTRDFIN2D,TDCASEID,VMT_MILE,GASPRICE,WHYTRP90,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,HHVEHCNT,LIF_CYC,MSACAT,MSASIZE,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID,R_AGE,R_SEX,WORKER,DRIVER,R_RACE,R_HISP,PROXY,EDUC,PRMACT,R_SEX_IMP,VEHTYPE,HHFAMINC_IMP,OBHUR,DBHUR,TRIPMODE,OTHTNRNT,OTPPOPDN,OTRESDN,OTEEMPDN,OBHTNRNT,OBPPOPDN,OBRESDN,DTHTNRNT,DTPPOPDN,DTRESDN,DTEEMPDN,DBHTNRNT,DBPPOPDN,DBRESDN
9000013016,2,1,1,900001301601.00,1,-1,1,2,4,2,260,2,4,1,30,10,930,940,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,1,2,2,-1,-1,-1,11,1,0.911746426,1231230.348,1094584.059,0,9.00001E+13,0.911746426,344.9,6,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,41,1,1,1,1,2,2,4,-1,1,1,7,3,3,1,80,7,3,8,90,7,6,60,6,5,8,70,6,5
9000013016,2,2,2,900001301601.00,1,-1,1,2,4,2,105,2,5,11,40,15,1400,1415,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,1,2,2,-1,-1,-1,14,1,4.59850839,1326753.079,1179505.341,0,9.00001E+13,4.59850839,344.9,4,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,41,1,1,1,1,2,2,4,-1,1,1,7,3,2,1,60,6,5,8,70,6,5,80,4,2,5,30,2,-9
9000013016,2,3,3,900001301601.00,1,-1,1,2,4,2,-9,2,4,14,1,30,1600,1630,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,1,2,2,-1,-1,-1,1,2,5.423244251,1231230.348,1094584.059,0,9.00001E+13,5.423244251,344.9,6,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,41,1,1,1,1,2,2,4,-1,1,1,7,2,3,1,80,4,2,5,30,2,-9,80,7,3,8,90,7,6
9000013039,1,1,1,900001303901.00,1,2,1,2,5,2,50,2,2,1,40,10,1700,1710,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,13,1,0.635177129,4905965.907,3601782.433,0,9.00001E+13,0.635177129,341.9,3,2,3,1,1,1,2,2,11,7,1,4,1,6,1,4,1,4,1,202201,1,1021,38,1,1,1,1,2,1,6,-1,1,1,7,5,5,1,60,7,6,8,60,7,2,60,3,6,8,80,7,6
9000013039,1,2,2,900001303901.00,1,2,1,2,5,2,-9,2,2,13,1,10,1800,1810,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,1,1,0.635177129,4905965.907,3601782.433,0,9.00001E+13,0.635177129,341.9,3,2,3,1,1,1,2,2,11,7,1,4,1,6,1,4,1,4,1,202201,1,1021,38,1,1,1,1,2,1,6,-1,1,1,7,5,5,1,60,3,6,8,80,7,6,60,7,6,8,60,7,2
9000013042,1,1,1,900001304201.00,1,2,1,2,6,2,60,2,3,1,50,30,1500,1530,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,1,2,1,-1,-1,-1,16,3,10.538844,3354504.133,3316624.785,0,9.00001E+13,10.538844,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,59,1,1,1,3,2,1,8,-1,1,3,11,4,5,1,5,5,3,6,5,5,3,70,3,6,8,70,6,6
9000013042,1,2,2,900001304201.00,1,2,1,2,6,2,-9,2,3,16,1,30,1630,1700,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,1,2,1,-1,-1,-1,1,1,12.53635799,3354504.133,3316624.785,0,9.00001E+13,12.53635799,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,59,1,1,1,3,2,1,8,-1,1,3,11,5,4,1,70,3,6,8,70,6,6,5,5,3,6,5,5,3
9000013042,2,1,1,900001304201.00,1,2,1,2,6,2,60,2,3,1,50,30,1500,1530,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,2,1,1,-1,-1,-1,16,3,10.538844,3370260.461,3478564.755,0,9.00001E+13,-1,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,38,2,1,1,3,2,1,8,-1,2,3,11,4,5,2,5,5,3,6,5,5,3,70,3,6,8,70,6,6
9000013042,2,2,2,900001304201.00,1,2,1,2,6,2,-9,2,3,16,1,30,1630,1700,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,2,1,1,-1,-1,-1,1,1,12.53635799,3370260.461,3478564.755,0,9.00001E+13,-1,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,38,2,1,1,3,2,1,8,-1,2,3,11,5,4,2,70,3,6,8,70,6,6,5,5,3,6,5,5,3
9000013043,1,1,1,-1.00,1,2,-1,2,3,1,-9,2,3,1,50,30,1630,1700,-1,-1,20,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,16,-1,2,1276605.661,966362.7501,0,9.00001E+13,-1,350.2,10,1,2,1,1,1,2,1,11,6,1,1,1,9,1,5,1,4,1,202202,0,1021,73,1,2,1,1,2,1,7,5,1,-1,6,4,4,5,30,6,5,7,5,6,5,30,6,5,7,5,6,5
9000013044,1,1,1,-1.00,1,2,-1,2,6,2,5,2,4,1,40,10,1200,1210,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,14,-1,0.389683033,2559867.208,2280165.148,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,29,2,1,1,1,2,1,6,-1,2,-1,7,5,5,5,50,6,5,8,30,5,4,50,6,5,8,60,7,6
9000013044,1,2,2,-1.00,1,2,-1,2,6,2,-9,2,4,14,1,15,1215,1230,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,1,-9,0.389683033,2559867.208,2280165.148,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,29,2,1,1,1,2,1,6,-1,2,-1,7,5,5,5,50,6,5,8,60,7,6,50,6,5,8,30,5,4
9000013044,2,1,1,-1.00,1,-1,-1,2,6,2,5,2,4,1,40,10,1200,1210,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,14,-1,0.389683033,2554120.35,2205357.815,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,30,1,1,1,1,2,2,6,-1,1,-1,7,5,5,5,50,6,5,8,30,5,4,50,6,5,8,60,7,6
9000013044,2,2,2,-1.00,1,-1,-1,2,6,2,-9,2,4,14,1,15,1215,1230,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,1,-9,0.389683033,2554120.35,2205357.815,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,30,1,1,1,1,2,2,6,-1,1,-1,7,5,5,5,50,6,5,8,60,7,6,50,6,5,8,30,5,4
9000013045,1,1,1,900001304501.00,1,2,1,2,2,2,0,2,4,1,70,20,1330,1350,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,10,8,6.073958981,1878749.824,1492365.49,0,9.00001E+13,6.073958981,355.1,4,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1,6,5,5,1,50,6,5,8,50,7,6,80,8,5,8,50,7,4
9000013045,1,2,2,900001304501.00,1,2,1,2,2,2,110,2,4,10,1,20,1350,1410,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,2,1,4.322560597,1878749.824,1492365.49,0,9.00001E+13,4.322560597,355.1,4,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1,6,5,5,1,80,8,5,8,50,7,4,50,6,5,8,50,7,6
9000013045,1,3,3,900001304501.00,1,2,1,2,2,2,0,2,4,2,70,20,1600,1620,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,10,8,6.073958981,1878749.824,1492365.49,0,9.00001E+13,6.073958981,355.1,4,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1,6,5,5,1,50,6,5,8,50,7,6,80,8,5,8,50,7,4
9000013045,1,4,4,900001304501.00,1,2,1,2,2,2,30,2,5,10,40,15,1620,1635,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,13,6,2.137973897,1834835.816,1457482.852,0,9.00001E+13,2.137973897,355.1,3,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1,6,5,5,1,80,8,5,8,50,7,4,60,8,7,8,60,8,7
9000013045,1,5,5,900001304501.00,1,2,1,2,2,2,-9,2,2,13,1,15,1705,1720,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,1,1,3.706028589,1834835.816,1457482.852,0,9.00001E+13,3.706028589,355.1,3,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1,6,5,5,1,60,8,7,8,60,8,7,50,6,5,8,50,7,6
9000013045,2,1,1,900001304501.00,1,-1,1,2,2,2,150,2,4,1,20,20,1330,1350,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,6,8,6.073958981,2008969.314,1713048.568,0,9.00001E+13,-1,355.1,5,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,34,2,1,2,1,2,2,8,-1,2,1,6,5,5,2,50,6,5,8,50,7,6,80,8,5,8,50,7,4
9000013045,2,2,2,900001304501.00,1,-1,1,2,2,2,30,2,5,6,40,15,1620,1635,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,13,6,2.137973897,2157944.649,1840079.869,0,9.00001E+13,-1,355.1,3,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,34,2,1,2,1,2,2,8,-1,2,1,6,5,5,2,80,8,5,8,50,7,4,60,8,7,8,60,8,7
9000013045,2,3,3,900001304501.00,1,-1,1,2,2,2,-9,2,2,13,1,15,1705,1720,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,1,1,3.706028589,2008969.314,1713048.568,0,9.00001E+13,-1,355.1,5,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,34,2,1,2,1,2,2,8,-1,2,1,6,5,5,2,60,8,7,8,60,8,7,50,6,5,8,50,7,6
9000013068,1,1,1,900001306801.00,1,2,1,1,1,2,330,2,3,1,50,90,1200,1330,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,1,2,1,-1,-1,-1,17,1,95.20882536,2756894.598,0,1089264.307,9.00001E+13,95.20882536,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,41,1,1,1,1,2,1,6,-1,1,3,10,1,4,1,5,2,2,3,1,2,1,20,5,3,6,20,4,3
9000013068,1,2,2,900001306801.00,1,2,1,1,1,2,-9,2,3,17,1,90,1900,2030,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,1,2,1,-1,-1,-1,1,1,94.26724674,2756894.598,0,1089264.307,9.00001E+13,94.26724674,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,41,1,1,1,1,2,1,6,-1,1,3,10,4,1,1,20,5,3,6,20,4,3,5,2,2,3,1,2,1
9000013068,2,1,1,900001306801.00,1,-1,1,1,1,2,330,2,3,1,50,90,1200,1330,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,17,1,95.20882536,2007305.784,0,751893.0355,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,40,2,2,1,1,2,2,6,97,2,3,10,1,4,2,5,2,2,3,1,2,1,20,5,3,6,20,4,3
9000013068,2,2,2,900001306801.00,1,-1,1,1,1,2,-9,2,3,17,1,90,1900,2030,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,1,1,94.26724674,2007305.784,0,751893.0355,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,40,2,2,1,1,2,2,6,97,2,3,10,4,1,2,20,5,3,6,20,4,3,5,2,2,3,1,2,1
9000013068,3,1,1,900001306801.00,1,-1,1,1,1,2,330,2,3,1,50,90,1200,1330,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,17,1,95.20882536,3166946.421,0,1525262.821,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,6,1,-1,-1,1,2,2,-1,-1,1,3,10,1,4,2,5,2,2,3,1,2,1,20,5,3,6,20,4,3
9000013068,3,2,2,900001306801.00,1,-1,1,1,1,2,-9,2,3,17,1,90,1900,2030,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,1,1,94.26724674,3166946.421,0,1525262.821,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,6,1,-1,-1,1,2,2,-1,-1,1,3,10,4,1,2,20,5,3,6,20,4,3,5,2,2,3,1,2,1
9000013081,1,1,1,900001308101.00,1,2,1,2,5,2,75,2,4,1,30,20,1025,1045,1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,11,2,9.311995028,3289996.847,5962094.998,0,9.00001E+13,9.311995028,344.9,6,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,62,2,2,1,1,2,1,3,5,2,3,6,1,2,1,20,2,1,2,30,2,1,30,1,2,5,30,2,2
9000013081,1,2,2,900001308101.00,1,2,1,2,5,2,60,2,5,11,40,15,1200,1215,1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,13,2,2.480422623,3462378.405,6274482.902,0,9.00001E+13,2.480422623,344.9,3,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,62,2,2,1,1,2,1,3,5,2,3,6,2,2,1,30,1,2,5,30,2,2,30,1,2,5,50,4,3
9000013081,1,3,3,900001308101.00,1,2,1,2,5,2,-9,2,2,13,1,20,1315,1335,1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,1,1,8.615288999,3289996.847,5962094.998,0,9.00001E+13,8.615288999,344.9,6,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,62,2,2,1,1,2,1,3,5,2,3,6,2,1,1,30,1,2,5,50,4,3,20,2,1,2,30,2,1
9000013081,2,1,1,900001308102.00,1,2,1,2,5,2,10,2,4,1,40,15,1100,1115,1,2,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,14,2,4.317588564,5024433.168,8625396.782,0,9.00001E+13,4.317588564,344.9,4,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,60,1,1,1,1,2,1,3,-1,1,4,6,1,1,1,20,2,1,2,30,2,1,20,2,1,2,30,3,2
9000013081,2,2,2,900001308102.00,1,2,1,2,5,2,170,2,4,14,1,15,1125,1140,1,2,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,1,1,4.317588564,5024433.168,8625396.782,0,9.00001E+13,4.317588564,344.9,4,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,60,1,1,1,1,2,1,3,-1,1,4,6,1,1,1,20,2,1,2,30,3,2,20,2,1,2,30,2,1
9000013081,2,3,3,900001308102.00,1,2,1,2,5,2,107,2,1,1,10,13,1430,1443,1,2,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,3,2,4.364201367,4797159.773,8235238.699,0,9.00001E+13,4.364201367,344.9,1,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,60,1,1,1,1,2,1,3,-1,1,4,6,1,1,1,20,2,1,2,30,2,1,20,2,1,2,30,3,2
9000013081,2,4,4,900001308102.00,1,2,1,2,5,2,-9,2,1,3,1,13,1630,1643,1,2,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,1,1,4.364201367,4797159.773,8235238.699,0,9.00001E+13,4.364201367,344.9,1,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,60,1,1,1,1,2,1,3,-1,1,4,6,1,1,1,20,2,1,2,30,3,2,20,2,1,2,30,2,1
9000013086,1,1,1,-1.00,1,2,-1,1,1,1,-9,2,3,1,50,30,1100,1130,-1,-1,20,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,16,-1,0,7038251.417,0,14034265.76,9.00001E+13,-1,341.9,10,2,2,2,1,1,2,2,12,6,1,2,2,10,2,4,1,3,1,202201,0,1021,75,1,2,1,1,2,1,3,5,1,-1,6,3,3,5,20,5,4,6,20,5,4,20,5,4,6,20,5,4
9000013099,1,1,1,900001309901.00,1,2,1,2,4,2,4,2,2,1,80,8,830,838,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,12,2,3.704164077,2609424.992,2474082.955,0,9.00001E+13,3.704164077,350.2,10,2,1,1,1,1,2,2,11,11,1,2,2,2,1,4,1,4,1,202202,2,1021,38,1,1,1,1,2,1,6,-1,1,1,11,4,2,1,20,5,3,6,1,4,2,20,1,2,5,5,3,2
9000013099,1,2,2,900001309901.00,1,2,1,2,4,2,-9,2,2,12,1,8,842,850,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,1,1,3.013051585,2609424.992,2474082.955,0,9.00001E+13,3.013051585,350.2,10,2,1,1,1,1,2,2,11,11,1,2,2,2,1,4,1,4,1,202202,2,1021,38,1,1,1,1,2,1,6,-1,1,1,11,2,4,1,20,1,2,5,5,3,2,20,5,3,6,1,4,2
9000013122,1,1,1,-1.00,2,2,-1,1,7,2,55,2,2,1,80,20,1000,1020,2,-1,20,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,12,-1,0.921690491,6327500.502,0,6297688.488,9.00001E+13,-1,425.8,10,3,1,2,1,1,2,3,13,11,1,3,2,10,3,3,4,6,2,202203,2,1021,69,2,1,1,1,2,1,6,-1,2,-1,11,1,1,5,20,2,1,3,30,2,1,20,2,1,3,30,2,1
