occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
0.2,0.127,0.127,0.0,0.0,0.0,0.0,0.284,0.541,0.541,0.0,0.0,0.0398,0,0
0.2,0.127,0.127,0.0,0.0,0.0,0.0,0.284,0.541,0.541,0.0,0.0,0.174,0,0
0.4,0.21,0.21,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.0,0,0
0.4,0.21,0.21,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.0431,0,0
0.4,0.21,0.21,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.347,0,0
0.4,0.21,0.21,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.094,0,0
0.4,0.232,0.232,0.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.452,0,0
0.6,0.323,0.323,0.0,0.0,0.0,0.0,0.372,0.703,0.703,0.0,0.0,0.204,0,0
0.6,0.323,0.323,0.0,0.0,0.0,0.0,0.372,0.703,0.703,0.0,0.0,0.0,0,0
0.6,0.323,0.323,0.0,0.0,0.0,0.0,0.372,0.703,0.703,0.0,0.0,0.23,0,0
0.6,0.402,0.402,0.0,0.0,0.0,0.0,0.43,0.726,0.726,0.0,0.0,0.0633,0,0
0.4,0.284,0.284,0.0,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.376,0,0
0.6,0.402,0.402,0.0,0.0,0.0,0.0,0.43,0.726,0.726,0.0,0.0,0.282,0,0
0.6,0.402,0.402,0.0,0.0,0.0,0.0,0.43,0.726,0.726,0.0,0.0,0.438,0,0
0.6,0.525,0.525,0.0,0.0,0.0,0.0,0.548,0.771,0.771,0.0,0.0,0.704,0,0
0.6,0.525,0.525,0.0,0.0,0.0,0.0,0.548,0.771,0.771,0.0,0.0,0.0,0,0
0.6,0.525,0.525,0.0,0.0,0.0,0.0,0.548,0.771,0.771,0.0,0.0,0.188,0,0
0.6,0.525,0.525,0.4,0.0,0.0,0.0,0.548,0.771,0.771,0.0,0.0,0.232,0,0
0.6,0.618,0.618,0.6,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.104,0,0
0.6,0.618,0.618,0.0,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.0,0,0
0.8,0.807,0.807,0.0,0.0,0.0,0.0,0.756,0.887,0.887,0.0,0.0,0.135,0,0
0.8,0.807,0.807,0.0,0.2,0.0,0.0,0.756,0.887,0.887,0.0,0.0,0.124,0,0
0.8,0.78,0.78,0.0,1.0,0.0,0.0,0.801,0.842,0.842,0.416,0.0,0.0,0,0
0.8,0.78,0.78,0.0,0.933,0.0,0.0,0.801,0.842,0.842,0.492,0.0,0.094,0,0
0.6,0.597,0.597,0.0,0.0,0.0,0.0,0.665,0.748,0.748,0.399,0.0,0.0,0,0
0.6,0.597,0.597,0.0,0.0,0.0,0.0,0.665,0.748,0.748,0.223,0.0,0.326,0,0
0.6,0.483,0.483,0.0,0.0,0.0,0.0,0.699,0.714,0.714,0.273,0.0,0.109,0,0
